hostname,gaia_id,default_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rowupdate,pl_pubdate;
2MASS J19383260+4603591,Gaia DR2 2080063931448749824,1,29564.00,,,0,,,,,,5.51,0.01,-0.01,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-04-19,2022-04;
2MASS J22362452+4751425,Gaia DR2 1986772848034988544,1,4045.00,35.00,-35.00,0,,,,,,,,,,,,,,,,,,-21.50,0.20,-0.20,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2016-11-09,2017-01;
30 Ari B,Gaia DR2 102082477749475200,1,6331.00,61.00,-61.00,0,0.190,,,0,[Fe/H],4.43,0.05,-0.05,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-09-04,2017-03;
4 UMa,Gaia DR2 1092230803510960640,1,4415.00,70.00,-70.00,0,-0.250,0.040,-0.040,0,[Fe/H],1.80,0.15,-0.15,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2007-09;
42 Dra,Gaia DR2 2256800156348230400,1,4200.00,70.00,-70.00,0,-0.460,0.050,-0.050,0,[Fe/H],1.71,0.05,-0.05,0,1.0000,,,1,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2009-06;
47 UMa,Gaia DR2 777254360337133312,1,5872.00,92.94,-113.53,0,0.040,0.100,-0.100,0,[M/H],4.30,0.07,-0.07,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2010-04;
47 UMa,Gaia DR2 777254360337133312,1,5872.00,92.94,-113.53,0,0.040,0.100,-0.100,0,[M/H],4.30,0.07,-0.07,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2010-04;
47 UMa,Gaia DR2 777254360337133312,1,5872.00,92.94,-113.53,0,0.040,0.100,-0.100,0,[M/H],4.30,0.07,-0.07,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2010-04;
51 Eri,Gaia DR2 3205095125321700480,1,,,,,-0.027,0.045,-0.045,0,[M/H],,,,,,,,,,,,,17.30,3.00,-3.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-07-08,2015-00;
51 Peg,Gaia DR2 2835207319109249920,1,5758.00,101.62,-119.62,0,0.180,0.100,-0.100,0,[M/H],4.31,0.08,-0.06,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2006-07;
55 Cnc,Gaia DR2 704967037090946688,1,5172.00,18.00,-18.00,0,0.350,0.100,-0.100,0,[Fe/H],4.43,0.02,-0.02,0,1.2300,0.0100,-0.0100,1,38.80,0.05,-0.05,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-02-05,2018-10;
55 Cnc,Gaia DR2 704967037090946688,1,5172.00,18.00,-18.00,0,0.350,0.100,-0.100,0,[Fe/H],4.43,0.02,-0.02,0,1.2300,0.0100,-0.0100,1,38.80,0.05,-0.05,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-02-05,2018-10;
55 Cnc,Gaia DR2 704967037090946688,1,5172.00,18.00,-18.00,0,0.350,0.100,-0.100,0,[Fe/H],4.43,0.02,-0.02,0,1.2300,0.0100,-0.0100,1,38.80,0.05,-0.05,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-02-05,2018-10;
55 Cnc,Gaia DR2 704967037090946688,1,5172.00,18.00,-18.00,0,0.350,0.100,-0.100,0,[Fe/H],4.43,0.02,-0.02,0,1.2300,0.0100,-0.0100,1,38.80,0.05,-0.05,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-02-05,2018-10;
55 Cnc,Gaia DR2 704967037090946688,1,5172.00,18.00,-18.00,0,0.350,0.100,-0.100,0,[Fe/H],4.43,0.02,-0.02,0,1.2300,0.0100,-0.0100,1,38.80,0.05,-0.05,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-02-05,2018-10;
6 Lyn,Gaia DR2 1004358968092652544,1,4938.00,,,0,,,,,,3.19,,,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-12-03,2019-04;
61 Vir,Gaia DR2 3507879565090229888,1,5577.00,33.00,-33.00,0,-0.010,,,0,[Fe/H],4.34,0.03,-0.03,0,1.9000,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2010-01;
