hostname,gaia_id,default_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rowupdate,pl_pubdate;
GJ 504,Gaia DR2 3732539683617410816,1,6234.00,25.00,-25.00,0,0.280,0.030,-0.030,0,[Fe/H],4.60,0.02,-0.02,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2013-09;
GJ 514,Gaia DR2 3738099879558957952,1,3728.00,68.00,-68.00,0,-0.140,0.090,-0.090,0,[Fe/H],4.76,0.04,-0.04,0,,,,,28.00,2.90,-2.90,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-04-19,2022-04;
GJ 536,Gaia DR2 3657653114880309248,1,3685.00,68.00,-68.00,0,-0.080,0.090,-0.090,0,[Fe/H],4.75,0.04,-0.04,0,1.2000,,,1,45.39,1.33,-1.33,0,-25.62,0.00,0.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2016-11-15,2017-01;
GJ 581,Gaia DR2 6322070093095493504,1,3396.00,157.00,-157.00,0,,,,,,4.89,0.00,0.00,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-07-09,2014-07;
GJ 581,Gaia DR2 6322070093095493504,1,3396.00,157.00,-157.00,0,,,,,,4.89,0.00,0.00,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-07-09,2014-07;
GJ 581,Gaia DR2 6322070093095493504,1,3396.00,157.00,-157.00,0,,,,,,4.89,0.00,0.00,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-07-09,2014-07;
GJ 625,Gaia DR2 1428427236986209024,1,3499.00,68.00,-68.00,0,-0.380,0.090,-0.090,0,[Fe/H],4.94,0.06,-0.06,0,0.2000,,,1,77.80,5.50,-5.50,0,-12.85,0.00,0.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2017-09-27,2017-09;
GJ 649,Gaia DR2 4572835535272064768,1,3700.00,60.00,-60.00,0,0.080,0.060,-0.060,0,[Fe/H],,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2010-02;
GJ 667 C,Gaia DR2 5975663354131618304,1,3350.00,50.00,-50.00,0,-0.550,0.100,-0.100,0,[Fe/H],4.69,0.10,-0.10,0,,,,,,,,,6.50,1.00,-1.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2013-08;
GJ 667 C,Gaia DR2 5975663354131618304,1,3350.00,50.00,-50.00,0,-0.550,0.100,-0.100,0,[Fe/H],4.69,0.10,-0.10,0,,,,,,,,,6.50,1.00,-1.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2013-08;
GJ 667 C,Gaia DR2 5975663354131618304,1,3350.00,50.00,-50.00,0,-0.550,0.100,-0.100,0,[Fe/H],4.69,0.10,-0.10,0,,,,,,,,,6.50,1.00,-1.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2013-08;
GJ 667 C,Gaia DR2 5975663354131618304,1,3350.00,50.00,-50.00,0,-0.550,0.100,-0.100,0,[Fe/H],4.69,0.10,-0.10,0,,,,,,,,,6.50,1.00,-1.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2013-08;
GJ 667 C,Gaia DR2 5975663354131618304,1,3350.00,50.00,-50.00,0,-0.550,0.100,-0.100,0,[Fe/H],4.69,0.10,-0.10,0,,,,,,,,,6.50,1.00,-1.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2013-08;
GJ 674,Gaia DR2 5951824121022278144,1,3600.00,100.00,-100.00,0,-0.280,,,0,[Fe/H],,,,,1.0000,,,1,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2007-10;
GJ 676 A,Gaia DR2 5925209583053212800,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-09-19,2022-09;
GJ 676 A,Gaia DR2 5925209583053212800,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-09-19,2022-09;
GJ 676 A,Gaia DR2 5925209583053212800,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-09-21,2022-09;
GJ 676 A,Gaia DR2 5925209583053212800,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-09-21,2022-09;
GJ 680,Gaia DR2 5946986063684477056,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-09-19,2022-09;
GJ 682,Gaia DR2 5955305209191546112,1,3028.00,,,0,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-10-04,2014-06;
GJ 682,Gaia DR2 5955305209191546112,1,3028.00,,,0,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-10-04,2014-06;
GJ 685,Gaia DR2 1439069444391326208,1,3816.00,69.00,-69.00,0,-0.150,0.090,-0.090,0,[Fe/H],4.72,0.05,-0.05,0,1.3300,0.4200,-0.4200,0,18.15,0.15,-0.16,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-04-08,2019-05;
GJ 687,Gaia DR2 1637645127018395776,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2020-09-08,2020-10;
GJ 687,Gaia DR2 1637645127018395776,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2020-09-08,2020-10;
GJ 720 A,Gaia DR2 2118424350249708800,1,3837.00,69.00,-69.00,0,-0.140,0.090,-0.090,0,[Fe/H],4.71,0.05,-0.05,0,0.9900,0.5300,-0.5300,0,36.05,1.38,-1.44,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-07-12,2021-05;
GJ 740,Gaia DR2 4282578724832056576,1,3913.00,51.00,-51.00,0,0.080,0.160,-0.160,0,[Fe/H],4.68,0.07,-0.07,0,0.9200,0.5900,-0.5900,0,35.56,0.07,-0.07,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-03-25,2021-04;
GJ 832,Gaia DR2 6562924609150908416,1,3472.00,,,0,-0.300,0.200,-0.200,0,[Fe/H],4.70,,,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-06-25,2014-08;
GJ 849,Gaia DR2 2627117287488522240,1,,,,,0.220,0.170,-0.170,0,[Fe/H],,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-06-28,2014-01;
GJ 849,Gaia DR2 2627117287488522240,1,,,,,0.220,0.170,-0.170,0,[Fe/H],,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-06-28,2014-01;
GJ 86,Gaia DR2 4937000898855759104,1,5182.00,11.00,-11.00,0,-0.220,,,0,[Fe/H],4.63,0.02,-0.02,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-09-04,2017-03;
GJ 876,Gaia DR2 2603090003484152064,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-08-27,2010-08;
GJ 876,Gaia DR2 2603090003484152064,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-08-27,2010-08;
GJ 876,Gaia DR2 2603090003484152064,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-08-27,2010-08;
GJ 876,Gaia DR2 2603090003484152064,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-08-27,2010-08;
GJ 887,Gaia DR2 6553614253923452800,1,3688.00,86.00,-86.00,0,-0.060,0.080,-0.080,0,[Fe/H],4.78,,,0,2.5000,1.0000,-1.0000,0,,,,,,,,,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,2020-07-02,2020-06;
GJ 887,Gaia DR2 6553614253923452800,1,3688.00,86.00,-86.00,0,-0.060,0.080,-0.080,0,[Fe/H],4.78,,,0,2.5000,1.0000,-1.0000,0,,,,,,,,,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,2020-07-02,2020-06;
GJ 896 A,Gaia DR2 2824770686019003904,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-09-14,2022-09;
GJ 9066,Gaia DR2 76868614540049408,1,3154.00,54.00,-54.00,0,-0.130,0.190,-0.190,0,[Fe/H],5.01,0.06,-0.06,0,2.0000,,,1,1.96,0.02,-0.02,0,-28.83,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-05-03,2022-03;
GJ 96,Gaia DR2 354077348697687424,1,3785.00,62.00,-62.00,0,0.140,0.080,-0.080,0,[Fe/H],,,,,,,,,29.60,2.80,-2.80,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-11-06,2018-10;
GJ 9689,Gaia DR2 1803475188714186368,1,3836.00,69.00,-69.00,0,0.050,0.040,-0.040,0,[Fe/H],4.69,0.05,-0.05,0,1.4700,,,1,39.97,0.39,-0.38,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-10-25,2021-07;
GJ 9714,Gaia DR2 6781117812601143168,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-09-19,2022-09;
GJ 9827,Gaia DR2 2643842302456085888,1,4340.00,40.00,-53.00,0,-0.260,0.090,-0.090,0,[m/H],4.66,0.01,-0.01,0,2.0000,,,1,28.72,0.19,-0.19,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-08-23,2019-04;
GJ 9827,Gaia DR2 2643842302456085888,1,4340.00,40.00,-53.00,0,-0.260,0.090,-0.090,0,[m/H],4.66,0.01,-0.01,0,2.0000,,,1,28.72,0.19,-0.19,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-08-23,2019-04;
GJ 9827,Gaia DR2 2643842302456085888,1,4340.00,40.00,-53.00,0,-0.260,0.090,-0.090,0,[m/H],4.66,0.01,-0.01,0,2.0000,,,1,28.72,0.19,-0.19,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-08-23,2019-04;
GPX-1,Gaia DR2 457317534880081152,1,7000.00,200.00,-200.00,0,0.350,0.100,-0.100,0,[Fe/H],4.27,0.05,-0.05,0,40.0000,10.0000,-10.0000,0,,,,,-3.70,5.26,-5.26,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-10-04,2021-08;
GQ Lup,Gaia DR2 6011522757643074304,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2008-06;
GSC 06214-00210,Gaia DR2 6244440552088537600,1,4200.00,150.00,-150.00,0,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2015-04-01,2015-03;
GU Psc,Gaia DR2 2784120641627589760,1,,,,,0.100,0.130,-0.130,0,[Fe/H],,,,,23.0000,1.4000,-1.4000,0,,,,,-1.60,0.40,-0.40,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2014-05;
Gaia-1,Gaia-1,1,5470.00,110.00,-110.00,0,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-06-08,2022-05;
Gaia-2,Gaia-2,1,5720.00,84.00,-84.00,0,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-06-08,2022-05;
Gl 378,Gaia DR2 823228721066990720,1,3879.00,67.00,-67.00,0,0.060,0.090,-0.090,0,[Fe/H],,,,,,,,,,,,,-9.70,0.00,0.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-03-01,2019-05;
Gl 49,Gaia DR2 522863309964987520,1,3805.00,51.00,-51.00,0,0.130,0.160,-0.160,0,[Fe/H],4.69,0.07,-0.07,0,2.0000,,,1,18.86,0.10,-0.09,0,-5.78,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-06-07,2019-04;
Gl 686,Gaia DR2 4550763526539955712,1,3656.00,51.00,-51.00,0,-0.230,0.160,-0.160,0,[Fe/H],4.87,0.07,-0.07,0,2.4900,,,0,38.73,0.29,-0.29,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2020-12-10,2021-01;
HAT-P-1,Gaia DR2 1928431764627661440,1,5980.00,49.00,-49.00,0,0.130,0.008,-0.008,0,[Fe/H],4.36,0.01,-0.01,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2015-09-08,2014-01;
HAT-P-11,Gaia DR2 2086512227851023872,1,4780.00,50.00,-50.00,0,0.310,0.050,-0.050,0,[Fe/H],,,,,1.5000,1.5000,-1.5000,0,29.20,,,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-01-28,2018-06;
HAT-P-11,Gaia DR2 2086512227851023872,1,4780.00,50.00,-50.00,0,0.310,0.050,-0.050,0,[Fe/H],,,,,1.5000,1.5000,-1.5000,0,29.20,,,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-01-28,2018-06;
HAT-P-12,Gaia DR2 1499514786891168640,1,4650.00,60.00,-60.00,0,-0.290,0.050,-0.050,0,[Fe/H],4.61,0.01,-0.01,0,0.5000,0.4000,-0.4000,0,,,,,-40.51,0.21,-0.21,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2009-11;
HAT-P-13,Gaia DR2 1014520826353577088,1,,,,,,,,,,,,,,1.6600,0.3700,-0.3700,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-10-15,2010-07;
HAT-P-13,Gaia DR2 1014520826353577088,1,,,,,,,,,,,,,,1.6600,0.3700,-0.3700,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-01-28,2010-07;
HAT-P-14,Gaia DR2 1340497608486742400,1,6600.00,90.00,-90.00,0,0.110,,,0,[Fe/H],4.25,0.03,-0.03,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-04-25,2017-03;
HAT-P-15,Gaia DR2 179498266829041664,1,5568.00,90.00,-90.00,0,0.220,,,0,[Fe/H],4.38,0.03,-0.03,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-04-25,2017-03;
HAT-P-16,Gaia DR2 381592313648387200,1,6158.00,80.00,-80.00,0,0.170,0.080,-0.080,0,[Fe/H],4.34,0.03,-0.03,0,3.5000,0.5000,-0.5000,0,,,,,-16.83,0.19,-0.19,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2010-09;
HAT-P-17,Gaia DR2 1849786481031300608,1,5246.00,80.00,-80.00,0,0.000,,,0,[Fe/H],4.53,0.02,-0.02,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-04-25,2017-03;
HAT-P-17,Gaia DR2 1849786481031300608,1,5336.96,118.21,-91.85,0,0.051,0.028,-0.028,0,[M/H],4.55,0.08,-0.07,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2013-08;
HAT-P-18,Gaia DR2 1334573817793362560,1,4803.00,80.00,-80.00,0,0.100,0.080,-0.080,0,[Fe/H],4.57,0.04,-0.04,0,0.5000,0.5000,-0.5000,0,,,,,-11.92,0.28,-0.28,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2011-01;
HAT-P-19,Gaia DR2 365426679516816512,1,4990.00,130.00,-130.00,0,0.230,0.080,-0.080,0,[Fe/H],4.54,0.05,-0.05,0,0.7000,0.5000,-0.5000,0,,,,,-20.22,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2011-01;
HAT-P-2,Gaia DR2 1380825667768742144,1,6380.00,,,0,0.180,,,0,[Fe/H],,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-09-25,2018-11;
HAT-P-20,Gaia DR2 869913435026514688,1,4595.00,80.00,-80.00,0,0.350,0.080,-0.080,0,[Fe/H],4.63,0.02,-0.02,0,2.1000,0.5000,-0.5000,0,,,,,-18.81,0.68,-0.68,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2011-12;
HAT-P-21,Gaia DR2 770622651659107712,1,5588.00,80.00,-80.00,0,0.010,,,0,[Fe/H],4.33,0.06,-0.06,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-04-25,2017-03;
HAT-P-22,Gaia DR2 846946629987527168,1,5302.00,80.00,-80.00,0,0.240,,,0,[Fe/H],4.36,0.04,-0.04,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-04-25,2017-03;
HAT-P-23,Gaia DR2 1808938730710633984,1,5905.00,80.00,-80.00,0,0.150,,,0,[Fe/H],4.33,0.05,-0.05,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-04-25,2017-03;
HAT-P-24,Gaia DR2 3167323052618369408,1,6373.00,80.00,-80.00,0,-0.160,,,0,[Fe/H],4.27,0.04,-0.04,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-04-25,2017-03;
HAT-P-25,Gaia DR2 111322601672419712,1,5519.00,78.00,-76.00,0,0.294,0.080,-0.080,0,[Fe/H],4.52,0.03,-0.03,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-01-14,2018-06;
HAT-P-26,Gaia DR2 3668036348641580288,1,5079.00,88.00,-88.00,0,-0.040,,,0,[Fe/H],4.56,0.06,-0.06,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-04-25,2017-03;
HAT-P-27,Gaia DR2 1159336403336463872,1,5316.00,87.12,-122.28,0,0.300,0.030,-0.030,0,[M/H],4.53,0.05,-0.10,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-02-01,2012-12;
HAT-P-28,Gaia DR2 363702817083391232,1,5680.00,90.00,-90.00,0,0.120,0.080,-0.080,0,[Fe/H],4.36,0.06,-0.06,0,0.2000,0.5000,-0.2000,0,,,,,43.88,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2011-06;
HAT-P-29,Gaia DR2 359058441314838528,1,6087.00,88.00,-88.00,0,0.210,,,0,[Fe/H],4.34,0.06,-0.06,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-04-25,2017-03;
HAT-P-3,Gaia DR2 1510191594552968832,1,5185.00,80.00,-80.00,0,0.270,,,0,[Fe/H],4.56,0.03,-0.03,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-05-22,2017-03;
HAT-P-30,Gaia DR2 3096441729861716224,1,6304.00,88.00,-88.00,0,0.130,,,0,[Fe/H],4.36,0.30,-0.30,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-04-25,2017-03;
HAT-P-31,Gaia DR2 4583004815239650176,1,6065.00,100.00,-100.00,0,0.150,,,0,[Fe/H],4.26,0.12,-0.12,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-04-25,2017-03;
HAT-P-32,Gaia DR2 356348286886230272,1,6001.00,88.00,-88.00,0,-0.160,0.080,-0.080,0,[Fe/H],4.22,0.04,-0.04,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-07-08,2019-02;
HAT-P-33,Gaia DR2 893550942158776832,1,6446.00,88.00,-88.00,0,0.050,,,0,[Fe/H],4.15,0.01,-0.01,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-04-25,2017-03;
